Renfield: Asistente De Vampiro (2023),"Comedy,Fantasy,Horror","Nicholas Hoult,Nicolas Cage,Awkwafina,Ben Schwartz"
La Heredera De La Mafia (2023),"Action,Comedy,Crime","Toni Collette,Monica Bellucci,Sophia Nomvete,Alessandro Bressanello"
Los Caballeros Del Zodiaco: Saint Seiya - El Inicio (2023),"Action,Adventure,Drama","Sean Bean,Famke Janssen,Madison Iseman,Mark Dacascos"
Araña Sagrada (2022),"Crime,Drama,Thriller","Mehdi Bajestani,Zar Amir-Ebrahimi,Arash Ashtiani,Forouzan Jamshidnejad"
No Descansarás (2022),"Drama,Horror,Mystery","Melissa Barrera,Guy Burnet,Edie Inksetter,Sebastian Billingsley-Rodriguez"
Vampiro Al Rescate (2022),"Animation,Adventure,Comedy","Roman Artemyev,Elizaveta Boyarskaya,Viktor Dobronravov,Anton Eldarov"
Los Habitantes (2023),"Horror,Thriller","Angélica Aragón,Jorge Luis Moreno,Estefanía Hinojosa,Jesse Martínez"
Madre Teresa: No Hay Amor Más Grande (2022),Documentary,"Robert Barron,Ridoyanul Hoq,Patrick Kelly,Konrad Krajewski"
Guardians of the Galaxy Vol. 3 (2023),"Action,Adventure,Comedy","Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel"
Juegos Inocentes (2021),"Drama,Fantasy,Horror","Rakel Lenora Petersen Fløttum,Alva Brynsmo Ramstad,Sam Ashraf,Mina Yasmin Bremseth Asheim"
Sundown: Secretos En Acapulco (2021),Drama,"Tim Roth,Albertine Kotting McMillan,Samuel Bottomley,Charlotte Gainsbourg"
Home is Somewhere Else (2022),"Documentary,Animation",None
Ofrenda Al Demonio (2022),Horror,"Nick Blood,Emily Wiseman,Paul Kaye,Allan Corduner"
Cuando Ellas Quieren Más (2023),Comedy,"Jane Fonda,Diane Keaton,Mary Steenburgen,Andy Garcia"
Misión Explosiva (2022),"Action,Thriller","Cole Hauser,Mel Gibson,Mauricio Hénao,Kiara Liz"
Mirando al Cielo (2023),Drama,"Julián Fidalgo,Luis Xavier,Estela Cano,Alexis Orosco"
¿Cómo matar a Mamá? (2023),"Comedy,Drama","Diana Bovio,Ximena Sariñana,Blanca Guerra,Erick Elias"
Mi Querido Monstruo (2022),"Animation,Adventure,Comedy","Cong Liu,Yi-ai Ai,Kai Wang,Zhe Zhang"
Amor A Primer Mensaje (2023),"Comedy,Drama,Romance","Priyanka Chopra Jonas,Sam Heughan,Russell Tovey,Celia Imrie"
Rápidos Y Furiosos 10 (2023),"Action,Crime,Mystery","Vin Diesel,Jordana Brewster,Tyrese Gibson,Michelle Rodriguez"
Titanic: La Maldición (2022),"Horror,Mystery,Thriller","Keesha Sharp,Jamie Bamber,Lydia Hearst,AnnaLynne McCord"
La sirenita (2023),"Adventure,Family,Fantasy","Halle Bailey,Jonah Hauer-King,Melissa McCarthy,Javier Bardem"
Boogeyman: Tu Miedo Es Real (2023),"Horror,Mystery,Thriller","Sophie Thatcher,Chris Messina,David Dastmalchian,Vivien Lyra Blair"
Spider-Man: A través del Spider-Verse (2023),"Animation,Action,Adventure","Shameik Moore,Hailee Steinfeld,Oscar Isaac,Jake Johnson"
The Flash (2023),"Action,Adventure,Fantasy","Ben Affleck,Michael Shannon,Michael Keaton,Temuera Morrison"
Hazme El Favor (2023),Comedy,"Jennifer Lawrence,Natalie Morales,Matthew Broderick,Ebon Moss-Bachrach"
Elementos (2023),"Animation,Adventure,Comedy","Leah Lewis,Mamoudou Athie,Ronnie Del Carmen,Shila Ommi"
Hijos De Perra (2023),"Animation,Adventure,Comedy","Jamie Foxx,Will Ferrell,Sofía Vergara,Isla Fisher"
Indiana Jones Y El Llamado Del Destino (2023),"Action,Adventure","Harrison Ford,Mads Mikkelsen,Boyd Holbrook,Phoebe Waller-Bridge"
Krakens y sirenas: Conoce a los Gillman (2023),"Animation,Action,Adventure","Toni Collette,Jane Fonda,Annie Murphy,Will Forte"
Harold and the Purple Crayon (2023),"Animation,Family,Fantasy","Zachary Levi,Zooey Deschanel,Camille Guaty,Lil Rel Howery"
La Noche Del Demonio: La Puerta Roja (2023),"Horror,Mystery,Thriller","Ty Simpkins,Patrick Wilson,Rose Byrne,Hiam Abbass"
Sombra del fuego (2023),"Action,Thriller","Kelvin Hair,Shantol Jackson,Samuel Joslin,Stella Storm"
La Puerta Secreta (2023),Fantasy,"Christoph Waltz,Patrick Gibson,Damon Herriman,Sophie Wilde"
Barbie (2023),"Adventure,Comedy,Fantasy","Margot Robbie,Ariana Greenblatt,Ryan Gosling,Helen Mirren"
Oppenheimer (2023),"Biography,Drama,History","Cillian Murphy,Emily Blunt,Matt Damon,Robert Downey Jr."
Rociar (2023),"Action,Thriller","Tiger Shroff,Hank Strong,Jeff Willy,Kieron L. Dyer"
Haunted Mansion (2023),"Comedy,Drama,Family","Rosario Dawson,Winona Ryder,Jamie Lee Curtis,Jared Leto"
Alibi.com 2 (2023),Comedy,"Philippe Lacheau,Élodie Fontan,Tarek Boudali,Julien Arruti"
The Last Voyage of the Demeter (2023),Horror,"Corey Hawkins,Aisling Franciosi,Liam Cunningham,David Dastmalchian"
Mis Tóxicos XV (2023),Comedy,"Valeria Vera,Gerardo Taracena,Paco Luna,Lupita Lara"
Untitled Please Don't Destroy Project (2023),Comedy,"Nichole Sakura,Conan O'Brien,Cedric Yarbrough,Bowen Yang"
Tortugas Ninja: Caos mutante (2023),"Animation,Action,Adventure","Giancarlo Esposito,Seth Rogen,Rose Byrne,Paul Rudd"
The Nun II (2023),"Horror,Mystery,Thriller","Storm Reid,Bonnie Aarons,Taissa Farmiga,Anna Popplewell"
Shazam! The Battle of the God's (2023),Action,"Crepy Only,Diego Ramos Rem,Yordi Calixto God,Peter Dest Forteen"
Gol Gana (2023),"Comedy,Drama,Sport","Michael Fassbender,Oscar Kightley,Kaimana,David Fane"
PAW Patrol: The Mighty Movie (2023),"Animation,Action,Adventure","James Marsden,Mckenna Grace,Kristen Bell,Taraji P. Henson"
Trolls 3: Se armó la banda (2023),"Animation,Adventure,Comedy","Anna Kendrick,Zooey Deschanel,Christopher Mintz-Plasse,Justin Timberlake"
Herseye Ragmen (2022),Drama,"Robert Maaser,Ekin Mert Daymaz,Nihan Büyükagaç,Aslihan Malbora"
Los/Las Idiotas (2023),Comedy,"Old-Nick,James Hogan,Alex Altman"
The Exorcist (2023),Horror,"Ellen Burstyn,Leslie Odom Jr.,Ann Dowd,Raphael Sbarge"
Fuck Them All! (2023),Biography,"Old-Nick,Sophie Fournier,Juan Rodrigues,Janet Priest"
Ghostbusters Sequel (2023),"Adventure,Comedy,Fantasy","Mckenna Grace,Paul Rudd,Carrie Coon,Finn Wolfhard"
Wish (2023),"Animation,Adventure,Comedy","Chris Pine,Alan Tudyk,Ariana DeBose"
El Niño Dios (2023),Family,"Ana Lucía Domínguez,Eugenio Siller,Eduardo Yáñez,Fernando Allende"
Godzilla x Kong: The New Empire (2024),"Action,Adventure,Sci-Fi","Dan Stevens,Rebecca Hall,Brian Tyree Henry,Rachel House"
Snow White (2024),"Adventure,Drama,Family","Rachel Zegler,Gal Gadot,Andrew Burnap,Luisa Guerreiro"
